,SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3
0,16,전나무,"(75, 200)",0.047771938,0.071045922,0.020981022,0.038645242,0.098798775,0.123423834,0,0.130560037,0.160709572,,,,0,0.130560037,0.160709572,1.440929782,-0.507475705,0.053776162,0.03466568
1,37,자작나무,"(151, 319)",0.05054253,0.061839769,0.035073501,0.041751916,0.105016603,0.126329178,0.05394215,0.097270996,0.119376513,,,,0.05394215,0.097270996,0.119376513,-5.606847077,1.587918771,-0.117584158,1.962023569
2,62,구실잣밤나무,"(14, 55)",0.295493396,0.364603392,0.249421317,0.179890818,0.102812049,0.130046111,0.488001433,0.095515443,0.106819972,,,,0.488001433,0.095515443,0.106819972,-9.503733062,2.807016832,-0.237273358,3.210408018
3,68,새덕이,"(52, 85)",0.076540914,0.098974571,0.037157099,0.03856332,0.090411611,0.11113818,0,0.114853833,0.139266845,,,,0,0.114853833,0.139266845,2.747011515,-0.612847654,0.037236433,-0.277364498
