SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3,XGB_R2,XGB_MAE,XGB_RMSE,RF_R2,RF_MAE,RF_RMSE,,diff
35,오리나무,"(558, 1224)",0.052823719,0.060682002,0.044668251,0.051973857,0.1022871,0.127850393,0.110370462,0.100300079,0.123984134,0.047729025,0.107346725,0.133261052,0.133932862,0.097083132,0.119509843,-2.014750536,0.669672558,-0.053940178,0.948911244,0.045843154,0.102746646,0.129064605,0.047228837,0.319878204,0.128970854,,-0.006980565
36,고로쇠나무,"(537, 1179)",0.047140409,0.051013331,0.041599542,0.046311078,0.105930349,0.131195213,0.089034094,0.096392835,0.117922723,0.121446899,0.104857399,0.12622793,0.056292342,0.092519222,0.113920271,0.79950114,-0.11598574,0.008991863,0.167286243,0.098446769,0.100680014,0.128659537,0.080973854,0.319416024,0.129900323,,0.05130636
37,자작나무,"(151, 319)",0.05054253,0.061839769,0.035073501,0.041751916,0.105016603,0.126329178,0.05394215,0.097270996,0.119376513,,,,0.05394215,0.097270996,0.119376513,-5.606847077,1.587918771,-0.117584158,1.962023569,0.224166611,0.095767139,0.115591,0.245701831,0.308189089,0.11397545,,0.173624081
38,박달나무,"(577, 1328)",0.064427986,0.075231304,0.056925709,0.062898166,0.101936471,0.126561271,0.074576211,0.105738647,0.127704137,0.095636232,0.101414721,0.123816334,0.065177113,0.107629007,0.129367129,-1.937355209,0.61928444,-0.043724383,0.865477324,0.142401489,0.095885781,0.121074574,0.14549496,0.309173855,0.120856011,,0.077973503
39,밤나무,"(1913, 4005)",0.070673703,0.073394554,0.068402273,0.070299709,0.103916559,0.129228187,0.080907166,0.099790669,0.124935966,0.095719725,0.101280687,0.124497985,0.061115042,0.09907913,0.125144577,-2.159127019,0.714990685,-0.065700488,1.132761007,0.169132523,0.096804978,0.120062436,0.130409853,0.314979046,0.122828338,,0.09845882
40,물푸레나무,"(988, 2169)",0.032074215,0.037382983,0.027564847,0.031549498,0.104177723,0.129419171,0.032359883,0.105744621,0.130273827,0.051563275,0.104273701,0.129391812,0.022212741,0.106414455,0.130673511,0.015658181,0.083212887,-0.004100478,0.357593932,0.118254398,0.103225332,0.126207338,0.085620612,0.322431785,0.128521613,,0.086180183
41,서어나무,"(653, 1652)",0.102948454,0.114198763,0.09760777,0.102256522,0.100584538,0.124473041,0.088307758,0.102562126,0.125949686,0.038369398,0.104863511,0.127315897,0.093835288,0.101652707,0.125405709,-0.766270926,0.322441169,-0.014973798,0.462248166,0.226771476,0.098575914,0.123071919,0.151096938,0.3216004,0.128953783,,0.123823022
42,때죽나무,"(667, 1531)",0.055547666,0.06145198,0.048670538,0.05495113,0.104470387,0.129419783,0.051841684,0.096837851,0.120901342,0,0.097403384,0.121111764,0.06817176,0.096591967,0.12080974,-0.556592827,0.304103814,-0.023530145,0.492363379,0.194429686,0.096109911,0.119823122,0.110615721,0.315954051,0.12590229,,0.13888202
43,호두나무,"(257, 476)",0.018471015,0.02368123,0.014204494,0.015684255,0.109306619,0.132755942,0.047598992,0.11574924,0.135002883,0.000469888,0.142121756,0.160128285,0.022305758,0.101262928,0.118964664,-1.234106257,0.391141206,-0.031355306,0.784252659,0.049820778,0.100283276,0.121297958,0.022349301,0.320194363,0.123038941,,0.031349763
44,백합나무,"(48, 173)",0.109851105,0.136149637,0.08335322,0.101506917,0.108153907,0.13633541,0.167426834,0.128009144,0.153301564,,,,0.167426834,0.128009144,0.153301564,-9.024743185,2.574652049,-0.198739791,2.937215003,0.357411571,0.11330658,0.13222815,0.493578327,0.311509627,0.117385273,,0.247560466
