,SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3
0,16,전나무,"(75, 200)",0.025606512628134626,0.03743531723273319,0.010555317135260367,0.012359112690032314,0.10492264814701713,0.1292396494381575,0,0.1094297914786904,0.13599549716028855,,,,0,0.1094297914786904,0.13599549716028855,0.2863294481200925,-0.17438980381058072,0.01527206551038019,0.5121998671754513
1,37,자작나무,"(151, 319)",0.052883100124120966,0.06684992904198273,0.040195660482428175,0.04421038889359219,0.1045778203759303,0.1266186150599421,0.018930425840973708,0.10252465701591847,0.11880810016520728,,,,0.018930425840973708,0.10252465701591847,0.11880810016520728,-5.946615968375201,1.670077884254997,-0.1252546718275024,2.0869207049379876
2,44,백합나무,"(48, 173)",0.10985110467663936,0.13614963712816675,0.08335321970227672,0.10150691694870884,0.10815390693527471,0.13633540976094483,0.16742683449403306,0.12800914387337078,0.15330156411813434,,,,0.16742683449403306,0.12800914387337078,0.15330156411813434,-9.024743184737611,2.5746520489619997,-0.19873979129436636,2.9372150025582506
3,62,구실잣밤나무,"(14, 55)",0.4069610342499061,0.46629502326969285,0.3196151679799878,0.39548515017189523,0.09488922871085807,0.11689141667478818,0,0.12343670045980557,0.15190745119819224,,,,0,0.12343670045980557,0.15190745119819224,-8.058013566427057,2.401150280410215,-0.19616191417897497,2.6621316500187384
4,68,새덕이,"(52, 85)",0.0999179993291672,0.16730049901007893,0.06673562039191605,0.08312105807321324,0.09095871111732862,0.11244156478562164,0,0.1086492290198294,0.14147244332555323,,,,0,0.1086492290198294,0.14147244332555323,-0.9892042802811871,0.5250037976683611,-0.05959143089445345,0.7584235164998784
