,SID,XGB_R²,XGB_MAE,XGB_RMSE,RF_R²,RF_MAE,RF_RMSE
0,10,0.03353462963904641,0.1191917731135994,0.14510322146061547,0.019301843204108216,0.3442986984257487,0.1461677578903975
1,11,0.22439270648002507,0.08695292594144514,0.11072545915029228,0.20020079987889783,0.29697868863355215,0.11243901448604632
2,12,0.25712032130201146,0.08750447708482895,0.11115745319503145,0.23429265627379603,0.29802638286131256,0.1128523883570177
3,13,0.2863792050424169,0.08744067190252613,0.10968799925476319,0.2768944866648475,0.29571284787881097,0.11041452356800177
4,14,0.22944558591874975,0.08606881000624614,0.10959478163329017,0.20894019579343626,0.29541151628293055,0.1110434325360262
5,15,0.27909743364052153,0.08804034157195827,0.11216627543527835,0.28794061098282875,0.29675490633757023,0.11147619123000177
6,16,0.330706991281819,0.07806350574200638,0.10194292030031703,0.24610693226087355,0.2929259701970478,0.10819415542420387
7,17,0.3683357628784756,0.09365128020156889,0.11497701525393464,0.3833637806847887,0.2995660869591937,0.11360106449335579
8,18,0.2543932957071914,0.08054508392862145,0.10094515599819467,0.2484917794722601,0.2892437218061709,0.10134386171544608
9,30,0.11678508088752826,0.10022819925562919,0.12491397628353294,0.10425024517913373,0.317776867939088,0.1257972605943064
10,31,0.24422632014353973,0.08946609866949448,0.11160215783476764,0.22895696222789508,0.3007555404888681,0.1127239036650996
11,32,0.183898697924178,0.09736891697498966,0.12118346478973284,0.16515005718375764,0.3132350481404291,0.12256756009892121
12,33,0.24571606074730046,0.09185793551620365,0.11390736349845407,0.2119214247711435,0.30574879018753126,0.11643113470301882
13,34,0.1979423624113099,0.09862980236467947,0.12244147144246546,0.1578312582185445,0.31795480401809845,0.1254657854373664
14,35,0.07226148639390972,0.10221518007705119,0.12688009148172952,0.007945696155174153,0.32336359077232796,0.13120440402422479
15,36,0.10934789837441938,0.10917438242407411,0.1340029759440252,0.07100849611456994,0.3348860345146619,0.13685676370140262
16,37,0.22112260284266716,0.09070549254383475,0.10971852817747306,0.20443286375269398,0.30356673870349604,0.11088781859329085
17,38,0.203980612141203,0.09778887498595269,0.12066299991730091,0.14994904865508574,0.317712469946913,0.12469090430602321
18,39,0.17310943628903386,0.09906533943090298,0.12251010475832178,0.1733791232423033,0.31293840733323497,0.12249012504595072
19,40,0.0782214317182115,0.09629330013729108,0.12154842821947658,0.031754218582417004,0.3130351101920475,0.12457441338059802
20,41,0.1630318134860348,0.09450023072460366,0.11875052650862589,0.1342829505711216,0.3075141721472729,0.12077277740005385
21,42,0.1036253806137517,0.10437599024376783,0.13130765526387783,0.04239892620113761,0.32864702130408985,0.1357180412083124
22,43,0.08254777195195506,0.10146529148911916,0.12110603017742823,0.12607012007434903,0.30824849767327955,0.11819860000088496
23,44,0.4971497733420286,0.07877283934565785,0.10220408389221584,0.391355524796704,0.2811278971852501,0.11244257088697937
24,45,0.2176252989744949,0.08631117779176516,0.11332822596525315,-0.058427278769163093,0.3169784800070371,0.1318138980307365
25,46,0.10983794150459225,0.10194640043424692,0.12714955702801103,0.06139189965644287,0.32172929252458526,0.13056370356980543
26,47,0.1199554284648855,0.10386905350332722,0.12147773611921606,0.11754074892677391,0.3182648516457971,0.121644278177489
27,48,0.13135609712703977,0.09904389719215545,0.12111152973843405,0.09022124435399503,0.31797482096570573,0.12394599480434637
28,49,0.08768021422653882,0.09529417971331007,0.11850307792707983,0.08646038857387561,0.30784396284053334,0.1185822742844807
29,61,0.3203550363518658,0.10002204324229712,0.12434481997768203,0.2709461334105554,0.3215008735558141,0.12878534781410658
30,62,0.07414395677367458,0.13916150965232413,0.1568224164929449,-0.03681382397529487,0.3718793821363571,0.1659536460325556
31,64,-0.07308068418340663,0.17851010151539212,0.22232645080770325,0.016688876204545178,0.3971333977898286,0.21282391224420893
32,66,-0.4229042600699662,0.07653101562742583,0.09450080899356307,0.001753597438451715,0.26430612376211027,0.07915285121397335
33,68,-0.24762356922441442,0.1129393072532806,0.13239995935442106,-0.5576042605279041,0.3629056990131245,0.14793625819114267
