,SID,mean,median,std,q1,q3,cnt
0,10.0,4.4832462167623035,3.8000001216000006,2.7483326499531224,2.6000000832000003,5.375000172,382.0
1,11.0,7.935348883061342,7.8000002496,2.811866647444099,6.000000192000001,9.7000003104,31294.0
2,12.0,7.425459160274933,7.200000230400001,3.0175257022456945,5.1000001632,9.6000003072,3323.0
3,13.0,12.347394490110192,12.300000393600001,3.9855926353116646,9.7000003104,14.9000004768,3895.0
4,14.0,8.153112294094607,8.1000002592,2.7239409041437592,6.3000002016,10.00000032,5302.0
5,15.0,7.981913134209092,7.9000002528,3.1797538407851826,5.7000001824,10.00000032,5280.0
6,16.0,5.903000188896001,5.0500001616,3.5972895113114594,3.0000000960000004,8.12500026,200.0
7,17.0,6.40442862924655,6.000000192000001,3.1609798469619466,3.9000001248,8.500000272,971.0
8,18.0,7.753601588148743,7.50000024,2.472063335900406,6.200000198400001,9.2000002944,597.0
9,19.0,7.1500002288,7.1500002288,5.4500001743999995,4.4250001416,9.875000316,2.0
10,20.0,3.3000001056,2.2000000704000002,1.9949937981658001,1.9000000608,4.150000132800001,3.0
11,21.0,4.670588384752942,4.250000136000001,1.662303453646138,3.4000001088000005,6.2750002008,34.0
12,30.0,5.868249631610457,5.6000001792,2.4694579744049316,4.000000128,7.4000002368,14384.0
13,31.0,7.968839889944198,7.9000002528,2.7496550228271945,6.000000192000001,9.8000003136,4602.0
14,32.0,6.573215445063879,6.500000208,2.1798997978076105,5.00000016,8.000000256,16935.0
15,33.0,7.879007333526232,7.8000002496,2.6512423750288154,6.000000192000001,9.7000003104,13133.0
16,34.0,6.327735782834085,6.100000195200001,2.3949337125050683,4.500000144,7.9000002528,8426.0
17,35.0,6.272467520980392,6.100000195200001,2.19772284984203,4.7000001504,7.600000243200001,1224.0
18,36.0,6.259627002682953,6.100000195200001,2.2027045219706323,4.7000001504,7.600000243200001,1179.0
19,37.0,6.114106778723511,6.100000195200001,2.410613053709958,4.3500001392000005,7.600000243200001,319.0
20,38.0,7.02989480326988,7.000000224,2.180610681394708,5.5000001759999995,8.400000268800001,1328.0
21,39.0,5.66501890787236,5.4000001728,2.4331240298385257,3.8000001216000006,7.3000002336000005,4005.0
22,40.0,6.42019384306722,6.200000198400001,2.3199692635815103,4.8000001536,7.9000002528,2169.0
23,41.0,6.013135785640678,5.8000001856,1.8706224649922305,4.6000001472,7.200000230400001,1652.0
24,42.0,4.744827062350464,4.6000001472,1.5425005914535288,3.7000001184,5.7000001824,1531.0
25,43.0,8.673739773357983,8.500000272,3.2905460689424477,6.200000198400001,10.600000339200001,476.0
26,44.0,5.242774734242775,4.8000001536,2.660917685375136,3.0000000960000004,7.000000224,173.0
27,45.0,10.341096221326024,10.2000003264,3.531844895303143,7.50000024,12.8500004112,219.0
28,46.0,5.516954084358156,5.4000001728,2.0869297951775794,3.9000001248,6.800000217600001,2495.0
29,47.0,6.236591678267669,6.100000195200001,2.109998799189409,4.7000001504,7.7000002464,399.0
30,48.0,7.244918931024391,7.1000002272,2.431661142886903,5.5000001759999995,8.9000002848,1476.0
31,49.0,7.5740171372127,7.3000002336000005,2.692155800558219,5.7000001824,9.3000002976,3433.0
32,61.0,6.24750019992,5.8000001856,2.8536808285412034,4.100000131200001,7.8000002496,160.0
33,62.0,6.425454751069092,6.200000198400001,2.575282462817634,4.4000001408000005,7.9000002528,55.0
34,64.0,4.1500001328,3.9000001248,1.5874093934219404,2.9250000936,5.2250001672,38.0
35,65.0,4.7666668192,4.900000156800001,1.1190273912485098,4.125000132,5.8250001864000005,6.0
36,66.0,2.851807320173494,2.6000000832000003,1.4543132364684352,1.8000000576000001,3.250000104,83.0
37,67.0,4.684210676210527,4.100000131200001,2.4948923690198037,3.75000012,4.5500001456,19.0
38,68.0,5.175294283256471,4.9000001568,1.6643604414357542,4.000000128,6.500000208,85.0
